blot_label,source_plate_id,source_plate_row,source_plate_column
A1,Anti-Yo_1,A,1
A2,Anti-Yo_1,A,2
A3,Anti-Yo_1,A,3
A4,Anti-Yo_1,A,4
A5,Anti-Yo_1,A,5
A6,Anti-Yo_1,A,6
A7,Anti-Yo_1,A,7
A8,Anti-Yo_1,A,8
A9,Anti-Yo_1,A,9
A10,Anti-Yo_1,A,10
A11,Anti-Yo_1,A,11
A12,Anti-Yo_1,A,12
A13,Anti-Yo_1,A,13
A14,Anti-Yo_1,A,14
A15,Anti-Yo_1,A,15
A16,Anti-Yo_1,A,16
A17,Anti-Yo_1,A,17
A18,Anti-Yo_1,A,18
A19,Anti-Yo_1,A,19
A20,Anti-Yo_1,A,20
A21,Anti-Yo_1,A,21
A22,Anti-Yo_1,A,22
A23,Anti-Yo_1,A,23
A24,Anti-Yo_1,A,24
B1,Anti-Yo_1,B,1
B2,Anti-Yo_1,B,2
B3,Anti-Yo_1,B,3
B4,Anti-Yo_1,B,4
B5,Anti-Yo_1,B,5
B6,Anti-Yo_1,B,6
B7,Anti-Yo_1,B,7
B8,Anti-Yo_1,B,8
B9,Anti-Yo_1,B,9
B10,Anti-Yo_1,B,10
B11,Anti-Yo_1,B,11
B12,Anti-Yo_1,B,12
B13,Anti-Yo_1,B,13
B14,Anti-Yo_1,B,14
B15,Anti-Yo_1,B,15
B16,Anti-Yo_1,B,16
B17,Anti-Yo_1,B,17
B18,Anti-Yo_1,B,18
B19,Anti-Yo_1,B,19
B20,Anti-Yo_1,B,20
B21,Anti-Yo_1,B,21
B22,Anti-Yo_1,B,22
B23,Anti-Yo_1,B,23
B24,Anti-Yo_1,B,24
C1,Anti-Yo_1,C,1
C2,Anti-Yo_1,C,2
C3,Anti-Yo_1,C,3
C4,Anti-Yo_1,C,4
C5,Anti-Yo_1,C,5
C6,Anti-Yo_1,C,6
C7,Anti-Yo_1,C,7
C8,Anti-Yo_1,C,8
C9,Anti-Yo_1,C,9
C10,Anti-Yo_1,C,10
C11,Anti-Yo_1,C,11
C12,Anti-Yo_1,C,12
C13,Anti-Yo_1,C,13
C14,Anti-Yo_1,C,14
C15,Anti-Yo_1,C,15
C16,Anti-Yo_1,C,16
C17,Anti-Yo_1,C,17
C18,Anti-Yo_1,C,18
C19,Anti-Yo_1,C,19
C20,Anti-Yo_1,C,20
C21,Anti-Yo_1,C,21
C22,Anti-Yo_1,C,22
C23,Anti-Yo_1,C,23
C24,Anti-Yo_1,C,24
D1,Anti-Yo_1,D,1
D2,Anti-Yo_1,D,2
D3,Anti-Yo_1,D,3
D4,Anti-Yo_1,D,4
D5,Anti-Yo_1,D,5
D6,Anti-Yo_1,D,6
D7,Anti-Yo_1,D,7
D8,Anti-Yo_1,D,8
D9,Anti-Yo_1,D,9
D10,Anti-Yo_1,D,10
D11,Anti-Yo_1,D,11
D12,Anti-Yo_1,D,12
D13,Anti-Yo_1,D,13
D14,Anti-Yo_1,D,14
D15,Anti-Yo_1,D,15
D16,Anti-Yo_1,D,16
D17,Anti-Yo_1,D,17
D18,Anti-Yo_1,D,18
D19,Anti-Yo_1,D,19
D20,Anti-Yo_1,D,20
D21,Anti-Yo_1,D,21
D22,Anti-Yo_1,D,22
D23,Anti-Yo_1,D,23
D24,Anti-Yo_1,D,24
E1,Anti-Yo_1,E,1
E2,Anti-Yo_1,E,2
